Schools,Rooms
Lake Road Elementary,B1
Lake Road Elementary,B2
Lake Road Elementary,B3
Lake Road Elementary,B4
Lake Road Elementary,B5
Lake Road Elementary,B6
Lake Road Elementary,B7
Lake Road Elementary,B8
Obion County Central High School,229
Lake Road Elementary,B12
Lake Road Elementary,B13
Lake Road Elementary,B14
Lake Road Elementary,B15
Lake Road Elementary,B16
Lake Road Elementary,B17
Lake Road Elementary,B18
Lake Road Elementary,B23
Lake Road Elementary,B19
Lake Road Elementary,B20
Lake Road Elementary,B21
Lake Road Elementary,B22
Lake Road Elementary,A3
Lake Road Elementary,A1
Lake Road Elementary,A2
Lake Road Elementary,C1
Lake Road Elementary,C2
Lake Road Elementary,C3
Lake Road Elementary,C4
Lake Road Elementary,C5
Lake Road Elementary,C6
Lake Road Elementary,C7
Lake Road Elementary,C9
Lake Road Elementary,C10
Lake Road Elementary,C11
Lake Road Elementary,C12
Lake Road Elementary,C13
Lake Road Elementary,C14
Lake Road Elementary,C15
District Office,Supervisor of Instruction PK-4
District Office,Supervisor of Instruction 5-8
District Office,Director Pod Right Office
District Office,Sec for Instructional Supervis
Obion County Central High School,Office - Server Room
Ridgemont Elementary,Principal Office
Obion County Central High School,Office
Lake Road Elementary,Office
Obion County Central High School,Guidance
Obion County Central High School,MPB
Ridgemont Elementary,E-4
Ridgemont Elementary,E-3
Ridgemont Elementary,E-2
Ridgemont Elementary,E-1
Ridgemont Elementary,K-4 Woorkroom
Ridgemont Elementary,S-5
Ridgemont Elementary,S-4
Ridgemont Elementary,S-3
Ridgemont Elementary,S-2
Ridgemont Elementary,S-1
Ridgemont Elementary,Band
Ridgemont Elementary,Gym
Ridgemont Elementary,Cafeteria
Ridgemont Elementary,W-3
Ridgemont Elementary,W-2
Ridgemont Elementary,W-1
Ridgemont Elementary,5-8 Workroom
Ridgemont Elementary,N-11
Ridgemont Elementary,N-10
Ridgemont Elementary,N-9
Ridgemont Elementary,N-8
Ridgemont Elementary,N-7
Ridgemont Elementary,N-6
Ridgemont Elementary,N-5
Ridgemont Elementary,N-4
Ridgemont Elementary,N-3
Ridgemont Elementary,N-2
Ridgemont Elementary,N-1
Ridgemont Elementary,Office
Ridgemont Elementary,E-8
Ridgemont Elementary,E-7
Ridgemont Elementary,E-6
Ridgemont Elementary,E-5
Ridgemont Elementary,Library
Ridgemont Elementary,N-12
Ridgemont Elementary,N-13
Ridgemont Elementary,N-14
Ridgemont Elementary,N-15
Ridgemont Elementary,N-16
Ridgemont Elementary,N-17
Ridgemont Elementary,S-6
Ridgemont Elementary,S-7
Ridgemont Elementary,S-8
Ridgemont Elementary,S-9
Ridgemont Elementary,S-10
Ridgemont Elementary,S-11
Ridgemont Elementary,Guidance
Ridgemont Elementary,Nurse
Hillcrest Elementary,W7
Hillcrest Elementary,Guidance
Hillcrest Elementary,E10
Hillcrest Elementary,Concession Stand
Hillcrest Elementary,E14
Hillcrest Elementary,E12
Hillcrest Elementary,E13
Hillcrest Elementary,W3
Hillcrest Elementary,E2
Hillcrest Elementary,E6
Hillcrest Elementary,W12
Hillcrest Elementary,W4
Hillcrest Elementary,W1
Hillcrest Elementary,E5
Hillcrest Elementary,W9
Hillcrest Elementary,CDC
Hillcrest Elementary,E9
Hillcrest Elementary,PreSchool
Hillcrest Elementary,W15
Hillcrest Elementary,E7
Hillcrest Elementary,Library
Hillcrest Elementary,Gym
Hillcrest Elementary,W13
Hillcrest Elementary,W6
Hillcrest Elementary,W11
Hillcrest Elementary,W8
Hillcrest Elementary,Office
Hillcrest Elementary,Speech
Hillcrest Elementary,E11
Hillcrest Elementary,E3
Hillcrest Elementary,W14
Hillcrest Elementary,Band
Hillcrest Elementary,E8
Hillcrest Elementary,W2
Hillcrest Elementary,W16
Hillcrest Elementary,Principal
Hillcrest Elementary,E4
Hillcrest Elementary,W5
Hillcrest Elementary,E1
South Fulton Elementary,1
South Fulton Elementary,2
South Fulton Elementary,3
South Fulton Elementary,4
South Fulton Elementary,5
South Fulton Elementary,6
South Fulton Elementary,7
South Fulton Elementary,8
South Fulton Elementary,9
South Fulton Elementary,10
South Fulton Elementary,11
South Fulton Elementary,12
South Fulton Elementary,13
South Fulton Elementary,14
South Fulton Elementary,15
South Fulton Elementary,16
South Fulton Elementary,17
South Fulton Elementary,18
South Fulton Elementary,19
South Fulton Elementary,20
South Fulton Elementary,21
South Fulton Elementary,22
South Fulton Elementary,23
South Fulton Elementary,24
South Fulton Elementary,25
South Fulton Elementary,26
South Fulton Elementary,27
South Fulton Elementary,28
South Fulton Elementary,29
South Fulton Elementary,30
South Fulton Elementary,A(Office)
South Fulton Elementary,B(Principal)
South Fulton Elementary,D(Conference Room)
South Fulton Elementary,E(Assist. Principal)
South Fulton Elementary,F(Bookkeeper)
South Fulton Middle/High School,N16
South Fulton Middle/High School,S4
South Fulton Middle/High School,Guidance Office
South Fulton Middle/High School,Library
South Fulton Middle/High School,S2
South Fulton Middle/High School,S13
South Fulton Middle/High School,S15
South Fulton Middle/High School,N8
South Fulton Middle/High School,S11
South Fulton Middle/High School,AG
South Fulton Middle/High School,N15
South Fulton Middle/High School,S10
South Fulton Middle/High School,S5
South Fulton Middle/High School,N9
South Fulton Middle/High School,N11
South Fulton Middle/High School,N2
South Fulton Middle/High School,S9
South Fulton Middle/High School,N1
South Fulton Middle/High School,N7
South Fulton Middle/High School,S6
South Fulton Middle/High School,S14
South Fulton Middle/High School,S12
South Fulton Middle/High School,N14
South Fulton Middle/High School,N4
South Fulton Middle/High School,N3
South Fulton Middle/High School,S7
South Fulton Middle/High School,N5
South Fulton Middle/High School,N10
South Fulton Middle/High School,Gym
South Fulton Middle/High School,Middle School Gym
South Fulton Middle/High School,Cafeteria
South Fulton Middle/High School,High School Office
South Fulton Middle/High School,Middle School Office
Obion County Central High School,Maintenance
Ridgemont Elementary,Maintenance
Lake Road Elementary,Maintenance
Hillcrest Elementary,Maintenance
Hillcrest Elementary,E17
Maintenance Department,Office
South Fulton Elementary,Maintenance
South Fulton Middle/High School,Maintenance
South Fulton Elementary,Library
Obion County Central High School,Cafeteria
South Fulton Elementary,Cafeteria
Hillcrest Elementary,Cafeteria
Hillcrest Elementary,W10
Lake Road Elementary,Cafeteria
District Office,Food Service
Lake Road Elementary,Library
District Office,Asst Bookkeeper
District Office,Director Pod Back office
District Office,Director Pod Conference Room
District Office,Director Of Schools
District Office,Board Member
District Office,Finance Data Closet
District Office,Payroll Office
District Office,Receptionist
Tansportation Department,Bus 55
District Office,Special Education Asst
District Office,Special Education Director
District Office,Textbook Coordinator
District Office,Special Education Family
South Fulton Middle/High School,Asst Principal
Obion County Central High School,Football
Hillcrest Elementary,Asst Principal
Hillcrest Elementary,Bookkeeper
Hillcrest Elementary,Chapter I
Hillcrest Elementary,Chapter
Hillcrest Elementary,Lab
Hillcrest Elementary,Nurse
Hillcrest Elementary,Resource - Green
Hillcrest Elementary,Resource - Red
Hillcrest Elementary,Resource - Yellow
Hillcrest Elementary,Workroom - Green
Hillcrest Elementary,Workroom - Yellow
Lake Road Elementary,Asst Principal
Lake Road Elementary,Bookkeeper
Lake Road Elementary,Principal
Obion County Central High School,Girls Basketball
Obion County Central High School,Boys Basketball
Ridgemont Elementary,Mobile
South Fulton Elementary,Gym
South Fulton Elementary,Nurse
South Fulton Middle/High School,Clinic - HS
South Fulton Middle/High School,N6
South Fulton Middle/High School,S3 Storage
South Fulton Middle/High School,Principal
South Fulton Middle/High School,Clinic - MS
South Fulton Middle/High School,S3
South Fulton Middle/High School,S8
District Office,Payroll Assistant
South Fulton Middle/High School,Band Room
Lake Road Elementary,Jr High Computer Lab
South Fulton Middle/High School,Fieldhouse
Obion County Central High School,Upstairs Server Room
Obion County Central High School,114
Obion County Central High School,110
Obion County Central High School,111
Obion County Central High School,112
Obion County Central High School,113
Obion County Central High School,115
Obion County Central High School,116
Obion County Central High School,122
Obion County Central High School,121
Obion County Central High School,126
Obion County Central High School,128
Obion County Central High School,127
Obion County Central High School,129
Obion County Central High School,132
Obion County Central High School,134
Obion County Central High School,136
Obion County Central High School,137
Obion County Central High School,138
Obion County Central High School,139
Obion County Central High School,140
Obion County Central High School,141
Obion County Central High School,142
Obion County Central High School,144
Obion County Central High School,146
Obion County Central High School,147
Obion County Central High School,148
Obion County Central High School,149
Obion County Central High School,150
Obion County Central High School,151
Obion County Central High School,152
Obion County Central High School,153
Obion County Central High School,154
Obion County Central High School,155
Obion County Central High School,156
Obion County Central High School,159
Obion County Central High School,160
Obion County Central High School,162
Obion County Central High School,161
Obion County Central High School,226
Obion County Central High School,224
Obion County Central High School,222
Obion County Central High School,220
Obion County Central High School,218
Obion County Central High School,216
Obion County Central High School,214
Obion County Central High School,212
Obion County Central High School,210
Obion County Central High School,208
Obion County Central High School,206
Obion County Central High School,204a
Obion County Central High School,204
Obion County Central High School,202
Obion County Central High School,201
Obion County Central High School,203
Obion County Central High School,205
Obion County Central High School,207
Obion County Central High School,209
Obion County Central High School,215
Obion County Central High School,217
Obion County Central High School,219
Obion County Central High School,207A
Obion County Central High School,161C
Obion County Central High School,209A
Obion County Central High School,162A
Obion County Central High School,
Obion County Central High School,Green House
Hillcrest Elementary,Networking
Hillcrest Elementary,E18
Obion County Central High School,AG Building
Obion County Central High School,Commons Area
Lake Road Elementary,B51
Lake Road Elementary,B52
District Office,Data Base
Hillcrest Elementary,
Lake Road Elementary,
Ridgemont Elementary,
South Fulton Elementary,
South Fulton Middle/High School,
Lake Road Elementary,Nurse
Ridgemont Elementary,Asst Principal Office
South Fulton Middle/High School,Alternative School
District Office,
Ridgemont Elementary,Speech
Obion County Central High School,109
Lake Road Elementary,Workroom East
Lake Road Elementary,Workroom West
Obion County Central High School,161A
South Fulton Elementary,Music
South Fulton Elementary,Preschool - Spec Ed
Lake Road Elementary,B11
Obion County Central High School,108
South Fulton Middle/High School,Football Office
South Fulton Middle/High School,Basketball Office
Obion County Central High School,A5
Obion County Central High School,A7
Obion County Central High School,125
Hillcrest Elementary,E16
Maintenance Department,Shop
Obion County Central High School,AG Dept
Ridgemont Elementary,Concessions
Tansportation Department,Director of Transportation
Tansportation Department,Secretary
Tansportation Department,Shop Foreman Office
Lake Road Elementary,GYM
Obion County Central High School,107
South Fulton Middle/High School,S1
Obion County Central High School,Nurse
Ridgemont Elementary,After School
South Fulton Middle/High School,North Conference Room
Tansportation Department,Shop
South Fulton Elementary,Mobile
South Fulton Middle/High School,N13
District Office,Special Education Student
South Fulton Middle/High School,South Teacher Work Area
Obion County Central High School,A6
Lake Road Elementary,B10
South Fulton Elementary,Networking
Hillcrest Elementary,E15
Lake Road Elementary,D1
Lake Road Elementary,D2
Lake Road Elementary,D3
Lake Road Elementary,D4
South Fulton Middle/High School,Accounting Office
Obion County Central High School,166
Obion County Central High School,164
Obion County Central High School,165
Obion County Central High School,CTE Office
Obion County Central High School,CTE Administrator
Obion County Central High School,163
Obion County Central High School,167
Obion County Central High School,168
Obion County Central High School,228
Obion County Central High School,230
Obion County Central High School,232
Obion County Central High School,169
Obion County Central High School,A1
South Fulton Middle/High School,W2
South Fulton Middle/High School,W1
Obion County Central High School,227
South Fulton Middle/High School,North Teacher Work Area
South Fulton Middle/High School,Nurse
Obion County Central High School,231
Obion County Central High School,Auto Shop
Obion County Central High School,Building Trades
Obion County Central High School,Metal Fabrication
Hillcrest Elementary,Reading Recovery
Obion County Central High School,Security
Obion County Central High School,Wiring Closet - Commons
Obion County Central High School,Wiring Closet - Gym
Obion County Central High School,Wiring Closet - CTE
South Fulton Middle/High School,PE Office
Maintenance Department,Frank Truck
District Office,Computer Storage
District Office,CTE Director
Hillcrest Elementary,After School
Hillcrest Elementary,Yellow Computer Lab
South Fulton Middle/High School,Practice Gym
South Fulton Middle/High School,Shop
South Fulton Middle/High School,Gym Stage
Lake Road Elementary,B Hall Maintenance Closet
Lake Road Elementary,D Hall Maintenance Closet
Hillcrest Elementary,Red Lab Closet
Hillcrest Elementary,Green Maintenance Closet
District Office,Networking Closet
District Office,Data Coach
District Office,School Phychologist
District Office,CTE
Hillcrest Elementary,Green -Workroom
South Fulton Middle/High School,SRO Office
Obion County Central High School,Conference Room A4
District Office,Food Service Secretary
South Fulton Middle/High School,Girls Varsity
South Fulton Middle/High School,Boys Varsity
South Fulton Middle/High School,Weight Room
Hillcrest Elementary,SRO Office
Lake Road Elementary,SRO Office
Ridgemont Elementary,SRO Office
Ridgemont Elementary,Bookkeeper
District Office,Social Worker
District Office,Maintenance
District Office,Grants Finance Manager
Hillcrest Elementary,Red Conference Room
South Fulton Elementary,K-2 Instructional Coach (Gym)
Hillcrest Elementary,1to1
Hillcrest Elementary,Blue Workroom
Hillcrest Elementary,Boys Locker Room
Hillcrest Elementary,Girls Locker Room
Hillcrest Elementary,Green Chapter
Hillcrest Elementary,Gym Office
Hillcrest Elementary,Music
Lake Road Elementary,1 to 1
Lake Road Elementary,KItchen
Maintenance Department,Maintenance Shop Warehouse
Maintenance Department,Truck 23
Obion County Central High School,1 to 1
Obion County Central High School,155C
Obion County Central High School,Alternative School
Obion County Central High School,Gym Audio Room
Obion County Central High School,Press Box
District Office,Accounts Payable/Purchasing
District Office,Assistant Director of Schools
District Office,Coach Office
District Office,Federal Grant Administrator
District Office,Finance Director
District Office,Human Resources
District Office,Janitorial
District Office,Lost Laptops
District Office,Out for repair
District Office,Public Relations
District Office,SOR Office
Ridgemont Elementary,1 to 1
Ridgemont Elementary,Boys Locker Room
Ridgemont Elementary,Girls Locker Room
Ridgemont Elementary,Gym Office
Ridgemont Elementary,Kitchen
South Fulton Elementary,1 to 1
